t MSD1 MSD2 MSD3 MSD4 MSD5 MSD6 MSD7 MSD8 MSD9 MSD10 
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1000	89074.0898297	21597.6901138	27786.4173102	3916.80565938	21111.7488626	65927.9003759	88351.2469346	61991.4969681	25.7519225844	94887.1505985	
2000	356296.359319	86390.7604553	111145.669241	15667.2226375	84446.9954503	263711.601504	353404.987739	247965.987872	103.007690337	379548.602394	
3000	801666.808467	194379.211024	250077.755792	35251.2509344	190005.739763	593351.103383	795161.222412	557923.472713	231.767303259	853984.355386	
4000	1425185.43727	345563.041821	444582.676964	62668.89055	337787.981801	1054846.40602	1413619.95095	991863.95149	412.03076135	1518194.40958	
5000	2226852.24574	539942.252846	694660.432756	97920.1414844	527793.721564	1648197.5094	2208781.17337	1549787.4242	643.798064609	2372178.76496	
6000	3206667.23387	777516.844098	1000311.02317	141005.003738	760022.959052	2373404.41353	3180644.88965	2231693.89085	927.069213037	3415937.42154	
7000	4364630.40165	1058286.81558	1361534.4482	191923.47731	1034475.69427	3230467.11842	4329211.0998	3037583.35144	1261.84420663	4649470.37932	
8000	5700741.7491	1382252.16729	1778330.70786	250675.5622	1351151.9272	4219385.62406	5654479.80382	3967455.80596	1648.1230454	6072777.6383	
9000	7215001.2762	1749412.89922	2250699.80213	317261.25841	1710051.65787	5340159.93045	7156451.00171	5021311.25442	2085.90572933	7685859.19848	
10000	8907408.98297	2159769.01138	2778641.73102	391680.565938	2111174.88626	6592790.03759	8835124.69346	6199149.69681	2575.19225844	9488715.05985	
11000	10777964.8694	2613320.50377	3362156.49454	473933.484785	2554521.61237	7977275.94549	10690500.8791	7500971.13314	3115.98263271	11481345.2224	
12000	12826668.9355	3110067.37639	4001244.09267	564020.01495	3040091.83621	9493617.65414	12722579.5586	8926775.56341	3708.27685215	13663749.6862	
13000	15053521.1812	3650009.62924	4695904.52543	661940.156435	3567885.55777	11141815.1635	14931360.732	10476562.9876	4352.07491676	16035928.4511	
14000	17458521.6066	4233147.26231	5446137.79281	767693.909238	4137902.77706	12921868.4737	17316844.3992	12150333.4057	5047.37682654	18597881.5173	
15000	20041670.2117	4859480.27561	6251943.8948	881281.27336	4750143.49408	14833777.5846	19879030.5603	13948086.8178	5794.18258148	21349608.8847	
16000	22802966.9964	5529008.66914	7113322.83142	1002702.2488	5404607.70882	16877542.4962	22617919.2153	15869823.2238	6592.4921816	24291110.5532	
17000	25742411.9608	6241732.4429	8030274.60266	1131956.83556	6101295.42128	19053163.2086	25533510.3641	17915542.6238	7442.30562688	27422386.523	
18000	28860005.1048	6997651.59688	9002799.20852	1269045.03364	6840206.63147	21360639.7218	28625804.0068	20085245.0177	8343.62291734	30743436.7939	
19000	32155746.4285	7796766.13109	10030896.649	1413966.84304	7621341.33939	23799972.0357	31894800.1434	22378930.4055	9296.44405296	34254261.366	
20000	35629635.9319	8639076.04553	11114566.9241	1566722.26375	8444699.54503	26371160.1504	35340498.7739	24796598.7872	10300.7690337	37954860.2394	
